Horas,Ganancias
22.3,16701.8
2.4,4986.7
14.4,9927.7
17.8,5074
17.6,3891
7,1066.8
10.3,7795.4
13.7,15089
15.8,12613.2
14.8,1407.7
6.2,13434.3
22.9,17480.5
21.7,4333.9
14.3,7229.6
13.3,11065.9
4.6,1755
1.1,16597.2
14.9,2831.4
21,11287.1
22.6,6746.4
22.7,17059.5
13.6,15639.4
16.2,3226.7
8.8,16454.2
9.8,14850.9
17.7,1948.9
11.3,8350.1
20.2,11488
22.5,15520
1,9483.9
20.8,13716.6
21.4,4548.3
8.8,5776.4
14.3,6736.9
22.1,11391.1
19.3,198.1
21,8956.3
16.6,15906.9
8.9,904.6
3.5,12301.9
13.4,15041.8
10,5946
2,12472
13.4,16610
20.9,14375.5
11.1,11981.3
19.5,5858.8
19.2,4448.2
2,14677.3
18.6,10421.2
